     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   0.885	     0.483	     0.068	     2.808	    11.230	   0.00000	   0.00000
   0.890	     0.486	     0.069	     2.833	    11.331	   0.00000	   0.00000
   0.895	     0.488	     0.069	     2.845	    11.381	   0.00000	   0.00000
   0.900	     0.489	     0.069	     2.858	    11.431	   0.00000	   0.00000
   0.905	     0.491	     0.069	     2.883	    11.531	   0.00000	   0.00000
   0.910	     0.494	     0.070	     2.933	    11.732	   0.00000	   0.00000
   0.930	     0.502	     0.071	     2.983	    11.932	   0.00000	   0.00000
   0.940	     0.505	     0.071	     3.008	    12.032	   0.00000	   0.00000
   0.945	     0.507	     0.072	     3.033	    12.133	   0.00000	   0.00000
   0.950	     0.510	     0.072	     3.071	    12.283	   0.00000	   0.00000
   0.955	     0.511	     0.072	     3.083	    12.333	   0.00000	   0.00000
   0.960	     0.513	     0.072	     3.108	    12.434	   0.00000	   0.00000
   0.965	     0.514	     0.073	     3.133	    12.534	   0.00000	   0.00000
   0.970	     0.518	     0.073	     3.159	    12.634	   0.00000	   0.00000
   0.990	     0.525	     0.074	     3.234	    12.935	   0.00000	   0.00000
   1.005	     0.529	     0.075	     3.309	    13.236	   0.00000	   0.00000
   1.010	     0.531	     0.075	     3.321	    13.286	   0.00000	   0.00000
   1.015	     0.534	     0.075	     3.359	    13.436	   0.00000	   0.00000
   1.020	     0.535	     0.076	     3.384	    13.537	   0.00000	   0.00000
   1.025	     0.537	     0.076	     3.409	    13.637	   0.00000	   0.00000
   1.030	     0.538	     0.076	     3.434	    13.737	   0.00000	   0.00000
   1.035	     0.541	     0.076	     3.472	    13.887	   0.00000	   0.00000
   1.040	     0.542	     0.077	     3.484	    13.938	   0.00000	   0.00000
   1.045	     0.544	     0.077	     3.509	    14.038	   0.00000	   0.00000
   1.050	     0.546	     0.077	     3.535	    14.138	   0.00000	   0.00000
   1.055	     0.548	     0.077	     3.560	    14.238	   0.00000	   0.00000
   1.060	     0.549	     0.077	     3.585	    14.339	   0.00000	   0.00000
   1.065	     0.552	     0.078	     3.610	    14.439	   0.00000	   0.00000
   1.085	     0.558	     0.079	     3.685	    14.740	   0.00000	   0.00000
